time,rr
1306.59375,0.6015625
1306.9609375,0.3671875
1308.09375,1.1328125
1309.3203125,1.2265625
1310.609375,1.2890625
1311.8828125,1.2734375
1313.1875,1.3046875
1314.21875,1.03125
1314.46875,0.25
1315.75,1.28125
1316.015625,0.265625
1317.046875,1.03125
1318.0234375,0.9765625
1318.3125,0.2890625
1319.6640625,1.3515625
1320.9375,1.2734375
1322.234375,1.296875
1323.7109375,1.4765625
1324.25,0.5390625
1325.6640625,1.4140625
1326.9453125,1.28125
1328.2265625,1.28125
1329.484375,1.2578125
1330.7890625,1.3046875
1332.0546875,1.265625
1333.3046875,1.25
1334,0.6953125
1334.6015625,0.6015625
1335.8828125,1.28125
1337.1484375,1.265625
1338.4375,1.2890625
1339.71875,1.28125
1341.0703125,1.3515625
1342.296875,1.2265625
1343.046875,0.75
1343.6796875,0.6328125
1344.515625,0.8359375
1345,0.484375
1345.828125,0.828125
1347.1328125,1.3046875
1348.0078125,0.875
1348.4609375,0.453125
1349.015625,0.5546875
1350.0078125,0.9921875
1351.078125,1.0703125
1352.3984375,1.3203125
1353.71875,1.3203125
1354.5390625,0.8203125
1356.046875,1.5078125
1357.328125,1.28125
1358.6484375,1.3203125
1359.9140625,1.265625
1361.1953125,1.28125
1362.46875,1.2734375
1363.5859375,1.1171875
1364.6171875,1.03125
1365.4765625,0.859375
1366.0546875,0.578125
1367.3671875,1.3125
1368.6484375,1.28125
1369.9296875,1.28125
1370.75,0.8203125
1371.21875,0.46875
1372.53125,1.3125
1373.828125,1.296875
1374.578125,0.75
1375.9921875,1.4140625
1377.3984375,1.40625
1378.7265625,1.328125
1380.0234375,1.296875
1381.015625,0.9921875
1381.3671875,0.3515625
1382.6953125,1.328125
1384.03125,1.3359375
1384.859375,0.828125
1386.1171875,1.2578125
1386.375,0.2578125
1387.7109375,1.3359375
1390.34375,2.6328125
1391.65625,1.3125
1392.4765625,0.8203125
1393.984375,1.5078125
1400.03125,6.046875
1401.015625,0.984375
1402.0234375,1.0078125
1403.0078125,0.984375
1403.796875,0.7890625
1404.171875,0.375
1404.5078125,0.3359375
1405.7265625,1.21875
1406.046875,0.3203125
1406.3671875,0.3203125
1406.734375,0.3671875
1407.9296875,1.1953125
1409,1.0703125
1409.4140625,0.4140625
1410.28125,0.8671875
1411.3984375,1.1171875
1412.671875,1.2734375
1414,1.328125
1414.9453125,0.9453125
1415.984375,1.0390625
1416.3515625,0.3671875
1417,0.6484375
1417.6015625,0.6015625
1418,0.3984375
1418.328125,0.328125
1419,0.671875
